?,#,Sector,Category,Sector_s,Sub Sector,Name,Marketcap,Price,Volumn,Blockchain,Change 24h,Change 7d,
795,796,Cryptos,Entertainment,Entertainment,,Kuai Token KT,$1.31M,$0.14,"$6,328,712",Ethereum (ERC20),-0.30%,-3.76%,
830,832,Cryptos,Entertainment,Entertainment,,Flixxo FLIXX,$1.07M,$0.01,"$1,320",Ethereum (ERC20),11.03%,-10.12%,
892,894,Cryptos,Entertainment,Entertainment,,Crypto Sports CSPN,$717.73K,$0.54,"$1,791",Own Blockchain,-5.60%,24.89%,
935,937,Cryptos,Entertainment,Entertainment,,On.Live ONL,$563.02K,$0.03,"$12,162",Ethereum (ERC20),-1.80%,-20.25%,
978,980,Cryptos,Entertainment,Entertainment,,Ace ACE,$436.89K,$0.04,"$74,171",Ethereum (ERC20),-3.66%,11.72%,
1001,1003,Cryptos,Entertainment,Entertainment,,VOISE VOISE,$380.48K,$0.00,"$5,025",Ethereum (ERC20),-13.99%,-37.41%,
1009,1011,Cryptos,Entertainment,Entertainment,,Scorum Coins SCR,$365.58K,$0.01,"$50,412",Own Blockchain,-0.18%,-10.46%,
1024,1026,Cryptos,Entertainment,Entertainment,,View VIEW,$326.61K,$0.01,$984,Ethereum (ERC20),21.67%,4.24%,
1028,1030,Cryptos,Entertainment,Entertainment,,HollyWoodCoin HWC,$313.92K,$0.02,"$109,188",Own Blockchain,-6.20%,-15.61%,
1076,1077,Cryptos,Entertainment,Entertainment,,TokenStars TEAM TEAM,$199.53K,$0.02,"$21,133",Ethereum (ERC20),-2.31%,-11.97%,
1106,1109,Cryptos,Entertainment,Entertainment,,BoutsPro BOUTS,$152.09K,$0.00,"$30,822",Ethereum (ERC20),-3.76%,-4.26%,
1119,1122,Cryptos,Entertainment,Entertainment,,Jetcoin JET,$138.6K,$0.02,"$26,661",Ethereum (ERC20),15.54%,-10.23%,
1124,1127,Cryptos,Entertainment,Entertainment,,More Coin MORE,$128.5K,$0.06,"$1,037",Ethereum (ERC20),-5.71%,-26.73%,
1159,1162,Cryptos,Entertainment,Entertainment,,Mainstream For The Underground MFTU,$64.39K,$0.00,"$610,161",Ethereum (ERC20),-9.90%,-23.42%,
1212,1215,Cryptos,Entertainment,Entertainment,,CyberMusic CYMT,$24.51K,$0.00,"$21,668",Ethereum (ERC20),-1.22%,-33.99%,
1216,1219,Cryptos,Entertainment,Entertainment,,Cyber Movie Chain CMCT,$22.43K,$0.00,"$39,012",Ethereum (ERC20),4.72%,-3.73%,
1233,1236,Cryptos,Entertainment,Entertainment,,Blacer Coin BLCR,$5.5K,$0.03,$639,Own Blockchain,-6.41%,-20.28%,
1244,1248,Cryptos,Entertainment,Entertainment,,smARTOFGIVING AOG,$9.27M,$0.16,$4,Ethereum (ERC20),0.01%,-9.21%,
1264,1269,Cryptos,Entertainment,Entertainment,,Vezt VZT,$1.96M,$0.02,$17,Ethereum (ERC20),-0.01%,5.64%,
1276,1282,Cryptos,Entertainment,Entertainment,,RoBET ROBET,$1.64M,$2.05,$7,Ethereum (ERC20),0.02%,0.01%,
1296,1301,Cryptos,Entertainment,Entertainment,,TV-TWO TTV,$1.06M,$0.00,$63,Ethereum (ERC20),0.01%,-0.01%,
1319,1325,Cryptos,Entertainment,Entertainment,,MUSE XSD,$735.77K,$0.05,$139,Own Blockchain,57.93%,-66.49%,
1339,1345,Cryptos,Entertainment,Entertainment,,StarCoin KST,$551.21K,$0.00,$0,Ethereum (ERC20),10.37%,22.07%,
1350,1356,Cryptos,Entertainment,Entertainment,,Opus OPT,$488.28K,$0.00,$4,Ethereum (ERC20),-0.60%,-33.10%,
1358,1364,Cryptos,Entertainment,Entertainment,,AudioCoin ADC,$434.63K,$0.00,$3,Own Blockchain,7.45%,29.96%,
1429,1436,Cryptos,Entertainment,Entertainment,,FantasyGold FGC,$237.92K,$0.02,$166,Own Blockchain,2.49%,0.45%,
1552,1560,Cryptos,Entertainment,Entertainment,,Soniq SONIQ,$88.49K,$0.00,$207,Ethereum (ERC20),-0.71%,-6.82%,
1603,1610,Cryptos,Entertainment,Entertainment,,Linx LINX,$59.31K,$0.00,$134,Own Blockchain,-12.83%,-54.85%,
1689,1696,Cryptos,Entertainment,Entertainment,,Shivers SHVR,$25.64K,$0.00,$3,Ethereum (ERC20),-0.01%,0.01%,
1724,1731,Cryptos,Entertainment,Entertainment,,FLiK FLIK,$18.6K,$0.00,$2,Ethereum (ERC20),34.76%,48.83%,
1834,1842,Cryptos,Entertainment,Entertainment,,MFIT COIN MFIT,$0,$0.00,$0,Own Blockchain,-65.86%,-65.66%,
1886,1897,Cryptos,Entertainment,Entertainment,,StarChain STC,$0,$0.00,"$980,714",Own Blockchain,-0.62%,-14.33%,
1898,1910,Cryptos,Entertainment,Entertainment,,UnlimitedIP UIP,$0,$0.02,"$559,224",EOS,-3.07%,3.39%,
1929,1942,Cryptos,Entertainment,Entertainment,,Muzika MZK,$0,$0.04,"$215,152",Ethereum (ERC20),3.31%,-1.70%,
1947,1961,Cryptos,Entertainment,Entertainment,,Twinkle TKT,$0,$0.00,"$125,152",Ethereum (ERC20),-8.14%,-26.33%,
1958,1972,Cryptos,Entertainment,Entertainment,,Show SHOW,$0,$0.00,"$89,926",Ethereum (ERC20),-1.89%,-3.45%,
2003,2020,Cryptos,Entertainment,Entertainment,,vSportCoin VSC,$0,$0.00,"$25,006",Ethereum (ERC20),7.41%,-2.32%,
2063,2086,Cryptos,Entertainment,Entertainment,,Sport and Leisure SNL,$0,$0.01,"$1,658",Ethereum (ERC20),0.40%,-9.77%,
2186,2212,Cryptos,Entertainment,Entertainment,,CMITCOIN CMIT,$0,$0.00,$3,Ethereum (ERC223),745.10%,566.10%,
363,364,Cryptos,Entertainment,entertainment,sports,All Sports SOC,$8.59M,$0.01,"$257,931",Ethereum (ERC20),0.38%,-12.68%,
534,536,Cryptos,Entertainment,entertainment,ticketing,GET Protocol GET,$4.16M,$0.36,"$10,665",Own Blockchain,9.81%,-5.45%,
6,7,Cryptos,Exchanges,Exchanges,,Binance Coin BNB,$4.35B,$30.82,"$438,999,225",Own Blockchain,1.80%,-7.10%,
45,46,Cryptos,Exchanges,Exchanges,,0x ZRX,$188.79M,$0.32,"$29,366,026",Ethereum (ERC20),1.13%,-8.60%,
51,52,Cryptos,Exchanges,Exchanges,,BitShares BTS,$164.93M,$0.06,"$4,874,171",BitShares,2.41%,-12.56%,
53,54,Cryptos,Exchanges,Exchanges,,Huobi Token HT,$151.7M,$3.03,"$67,743,912",Ethereum (ERC20),0.34%,-8.01%,
67,68,Cryptos,Exchanges,Exchanges,,KuCoin Shares KCS,$100.19M,$1.12,"$25,606,578",Ethereum (ERC20),-1.67%,-2.70%,
98,99,Cryptos,Exchanges,Exchanges,,Loopring LRC,$55.33M,$0.06,"$33,227,336",Ethereum (ERC20),0.25%,-18.51%,
103,104,Cryptos,Exchanges,Exchanges,,NEXT NET,$53.24M,$1.06,"$6,449,164",Ethereum (ERC20),-0.50%,0.04%,
123,124,Cryptos,Exchanges,Exchanges,,Kyber Network KNC,$41.72M,$0.25,"$4,501,712",Ethereum (ERC20),2.01%,-11.01%,
157,158,Cryptos,Exchanges,Exchanges,,Ren REN,$30.53M,$0.04,"$782,401",Own Blockchain,1.45%,21.02%,
188,189,Cryptos,Exchanges,Exchanges,,Digitex Futures DGTX,$23.32M,$0.03,"$2,112,762",Ethereum (ERC20),19.63%,9.29%,
194,195,Cryptos,Exchanges,Exchanges,,Dynamic Trading Rights DTR,$22.71M,$0.02,"$1,256",Ethereum (ERC20),-2%,-6.94%,
197,198,Cryptos,Exchanges,Exchanges,,Eidoo EDO,$21.85M,$0.75,"$922,823",Ethereum (ERC20),-0.58%,-18.36%,
277,278,Cryptos,Exchanges,Exchanges,,OAX OAX,$13.24M,$0.20,"$387,856",Ethereum (ERC20),2.23%,-12.49%,
322,323,Cryptos,Exchanges,Exchanges,,B2BX B2B,$10.73M,$0.65,"$45,692",Ethereum (ERC20),4.40%,-2.87%,
372,373,Cryptos,Exchanges,Exchanges,,BridgeCoin BCO,$8.33M,$0.31,"$1,443",Own Blockchain,-2.67%,-33.71%,
411,412,Cryptos,Exchanges,Exchanges,,Trade Token X TIOX,$6.84M,$0.08,"$11,404",Ethereum (ERC20),0.64%,-10.32%,
418,419,Cryptos,Exchanges,Exchanges,,Airswap AST,$6.63M,$0.04,"$1,226,498",Ethereum (ERC20),1.64%,-16.36%,
427,428,Cryptos,Exchanges,Exchanges,,DEX DEX,$6.37M,$0.03,"$264,327",Ethereum (ERC20),19.04%,5.27%,
431,432,Cryptos,Exchanges,Exchanges,,IDEX IDEX,$6.3M,$0.03,"$14,303",Ethereum (ERC20),-0.42%,-12.62%,
484,485,Cryptos,Exchanges,Exchanges,,Legolas Exchange LGO,$4.95M,$0.04,"$6,914",Ethereum (ERC20),-16.28%,-40.34%,
555,557,Cryptos,Exchanges,Exchanges,,Eterbase Coin XBASE,$3.85M,$0.01,"$1,942,568",Ethereum (ERC20),-1.13%,-40.57%,
659,661,Cryptos,Exchanges,Exchanges,,Spectre.ai Utility Token SXUT,$2.39M,$0.10,"$2,952",Ethereum (ERC20),28.66%,77.98%,
681,682,Cryptos,Exchanges,Exchanges,,Switcheo SWTH,$2.15M,$0.00,"$5,681",NEO,-3.42%,-20.11%,
773,774,Cryptos,Exchanges,Exchanges,,Cobinhood COB,$1.45M,$0.00,"$3,768",Ethereum (ERC20),-3.34%,9.73%,
833,835,Cryptos,Exchanges,Exchanges,,NOW Token NOW,$1.06M,$0.02,"$6,867",Ethereum (ERC20),-12.67%,-16.24%,
877,879,Cryptos,Exchanges,Exchanges,,LocalCoinSwap LCS,$779.88K,$0.01,"$244,162",Ethereum (ERC20),-20.48%,-32.95%,
882,884,Cryptos,Exchanges,Exchanges,,Karbo KRB,$756.8K,$0.10,"$3,901",Own Blockchain,3.52%,-7.12%,
948,950,Cryptos,Exchanges,Exchanges,,Deex DEEX,$532.66K,$0.01,"$6,952",BitShares,-11.90%,-22.43%,
956,958,Cryptos,Exchanges,Exchanges,,IDEX Membership IDXM,$487.5K,$243.75,"$1,696",Ethereum (ERC20),5.96%,-8.37%,
1006,1008,Cryptos,Exchanges,Exchanges,,Birake BIR,$375.35K,$0.01,"$14,620",Own Blockchain,-19.96%,37.45%,
1019,1021,Cryptos,Exchanges,Exchanges,,FlypMe FYP,$342.59K,$0.02,"$16,170",Ethereum (ERC20),0.69%,-7.39%,
1030,1032,Cryptos,Exchanges,Exchanges,,Arbidex ABX,$310.73K,$0.02,"$45,959",Ethereum (ERC20),-0.84%,-9.48%,
1154,1157,Cryptos,Exchanges,Exchanges,,FidexToken FEX,$77.25K,$0.00,"$32,840",Ethereum (ERC20),0.69%,-10.59%,
1211,1214,Cryptos,Exchanges,Exchanges,,Micromines MICRO,$25.01K,$0.00,"$34,708",Ethereum (ERC20),-24.23%,21.73%,
1230,1233,Cryptos,Exchanges,Exchanges,,KUN KUN,$9.63K,$4.82,"$1,845",Waves,0.27%,-9.93%,
1238,1242,Cryptos,Exchanges,Exchanges,,DEW DEW,$23.92M,$0.23,$14,Ethereum (ERC20),-0.33%,5.92%,
1247,1251,Cryptos,Exchanges,Exchanges,,Lykke LKK,$5.05M,$0.02,"$30,115",Own Blockchain,-3.76%,-12.98%,
1273,1278,Cryptos,Exchanges,Exchanges,,Leverj LEV,$1.71M,$0.01,$12,Ethereum (ERC20),-0.01%,-9.94%,
1347,1353,Cryptos,Exchanges,Exchanges,,OBITS OBITS,$504.7K,$0.03,$221,BitShares,-4.50%,-5.77%,
1359,1365,Cryptos,Exchanges,Exchanges,,Ethbits ETBS,$430.41K,$0.26,$351,Ethereum (ERC20),0.01%,7.09%,
1547,1554,Cryptos,Exchanges,Exchanges,,Sugar Exchange SGR,$93.7K,$0.00,$6,Ethereum (ERC20),-6.03%,-8.44%,
1579,1587,Cryptos,Exchanges,Exchanges,,Tidex Token TDX,$71.69K,$0.01,$60,Own Blockchain,1.02%,17.34%,
1621,1630,Cryptos,Exchanges,Exchanges,,Open Trading Network OTN,$48.78K,$0.02,$45,Ethereum (ERC20),-15.33%,6.75%,
1840,1848,Cryptos,Exchanges,Exchanges,,Fatcoin FAT,$0,$0.03,"$136,545,862",Ethereum (ERC20),2.93%,-10.84%,
1841,1849,Cryptos,Exchanges,Exchanges,,ZB ZB,$0,$0.32,"$63,734,456",Ethereum (ERC20),-0.23%,-5.71%,
1842,1850,Cryptos,Exchanges,Exchanges,,OKB OKB,$0,$1.39,"$50,053,624",Ethereum (ERC20),-0.59%,-10.44%,
1844,1852,Cryptos,Exchanges,Exchanges,,TigerCash TCH,$0,$0.03,"$22,566,539",Ethereum (ERC20),2.83%,2.48%,
1847,1855,Cryptos,Exchanges,Exchanges,,UNUS SED LEO LEO,$0,$1.64,"$7,884,749",Ethereum (ERC20),10.17%,11.08%,
1859,1867,Cryptos,Exchanges,Exchanges,,Huobi Pool Token HPT,$0,$0.01,"$3,140,950",Ethereum (ERC20),3.01%,19.27%,
1863,1871,Cryptos,Exchanges,Exchanges,,ABCC Token AT,$0,$0.06,"$2,805,097",Ethereum (ERC20),3.65%,-0.56%,
1877,1887,Cryptos,Exchanges,Exchanges,,DigiFinexToken DFT,$0,$0.30,"$1,364,302",Own Blockchain,0.53%,-9.12%,
1880,1889,Cryptos,Exchanges,Exchanges,,CoinEx Token CET,$0,$0.02,"$1,182,352",Ethereum (ERC20),0.82%,-4.92%,
1881,1891,Cryptos,Exchanges,Exchanges,,OceanEX Token OCE,$0,$0.01,"$1,091,350",VeChainThor,16.57%,38.47%,
1922,1934,Cryptos,Exchanges,Exchanges,,KNOW KNOW,$0,$0.01,"$270,828",Ethereum (ERC20),-4.41%,-22.81%,
1941,1955,Cryptos,Exchanges,Exchanges,,CHEX CHEX,$0,$0.01,"$156,538",Ethereum (ERC20),-0.91%,7.80%,
1981,1996,Cryptos,Exchanges,Exchanges,,CryptalDash CRD,$195.24K,$0.00,"$55,351",Ethereum (ERC20),11.50%,1.88%,
1986,2001,Cryptos,Exchanges,Exchanges,,Bilaxy Token BIA,$0,$0.01,"$43,507",Ethereum (ERC20),-1.92%,-14.41%,
2015,2033,Cryptos,Exchanges,Exchanges,,Dexter G DXG,$0,$0.02,"$19,061",Ethereum (ERC20),-0.98%,-5.69%,
2022,2041,Cryptos,Exchanges,Exchanges,,DEXTER DXR,$0,$9.16,"$14,755",Ethereum (ERC20),1.33%,-13.03%,
2075,2098,Cryptos,Exchanges,Exchanges,,One DEX ODEX,$0,$0.00,$829,Ethereum (ERC20),5.02%,-52.45%,
2116,2141,Cryptos,Exchanges,Exchanges,,CapdaxToken XCD,$0,$0.00,$46,Ethereum (ERC20),0.35%,-10.53%,gold backed
2182,2208,Cryptos,Exchanges,Exchanges,,Digital Asset Exchange Token DAXT,$0,$0.00,$15,Ethereum (ERC20),-0.02%,-3.86%,
2184,2210,Cryptos,Exchanges,Exchanges,,ALLCOIN ALC,$0,$0.00,$-----,Ethereum (ERC20),-29.89%,-45.82%,
2193,2219,Cryptos,Exchanges,Exchanges,,TOKOK TOK,$0,$0.00,$-----,Ethereum (ERC20),1.87%,-21.66%,
375,376,Cryptos,Exchanges,Exchanges,,BitBay BAY,$8.18M,$0.01,"$11,926",Own Blockchain,-1.45%,-8.89%,
81,82,Cryptos,Exchanges,Exchanges,,Cryptonex CNX,$81.23M,$1.46,"$13,559,555",Own Blockchain,-0.54%,-10.20%,
524,525,Cryptos,Exchanges,Exchanges,,COSS COSS,$4.28M,$0.04,"$17,623",Ethereum (ERC20),6.15%,-16.73%,
686,687,Cryptos,file sharing,file sharing,seeding,Upfiring UFR,$2.11M,$0.10,"$10,365",Ethereum (ERC20),21.81%,-18.47%,
24,25,Cryptos,Financial services,Financial services,,Crypto.com Chain CRO,$431.8M,$0.06,"$9,275,774",Ethereum (ERC20),-3.06%,-7.15%,
31,32,Cryptos,Financial services,Financial services,,OmiseGO OMG,$271.75M,$1.94,"$97,116,053",Ethereum (ERC20),-4.38%,-17.13%,
37,38,Cryptos,Financial services,Financial services,,Waves WAVES,$228.26M,$2.28,"$27,757,644",Waves,-1.23%,-13.70%,
41,42,Cryptos,Financial services,Financial services,,Pundi X NPXS,$202.15M,$0.00,"$16,311,177",Ethereum (ERC20),-0.71%,-16.61%,
42,43,Cryptos,Financial services,Financial services,payment processing,Nano NANO,$195.77M,$1.47,"$13,227,927",Own Blockchain,-2.18%,-18.09%,
69,70,Cryptos,Financial services,Financial services,,Crypto.com MCO,$91.8M,$5.81,"$13,673,384",Ethereum (ERC20),-2.20%,-12.83%,
106,107,Cryptos,Financial services,Financial services,,Nexo NEXO,$51.59M,$0.09,"$6,027,795",Ethereum (ERC20),11.73%,-7.98%,
111,112,Cryptos,Financial services,Financial services,,Newton NEW,$48.39M,$0.00,"$11,387,717",Own Blockchain,1.43%,1.41%,
117,118,Cryptos,Financial services,Financial services,,Clipper Coin CCCX,$46.66M,$0.01,"$52,554",Ethereum (ERC20),10.74%,-6.54%,
134,135,Cryptos,Financial services,Financial services,,Bread BRD,$37.37M,$0.42,"$133,531",Ethereum (ERC20),-0.73%,-13.69%,
150,151,Cryptos,Financial services,Financial services,,UTRUST UTK,$32.31M,$0.07,"$2,366,852",Ethereum (ERC20),-6.56%,-7.62%,
152,153,Cryptos,Financial services,Financial services,,Synthetix Network Token SNX,$31.85M,$0.30,"$83,124",Ethereum (ERC20),13.49%,14.21%,
164,165,Cryptos,Financial services,Financial services,,Bibox Token BIX,$28.86M,$0.26,"$5,102,402",Ethereum (ERC20),-3.31%,-19.36%,
186,187,Cryptos,Financial services,Financial services,,Davinci Coin DAC,$23.31M,$0.01,"$913,657",Ethereum (ERC20),14.45%,25.04%,
190,191,Cryptos,Financial services,Financial services,,BHPCoin BHP,$23.27M,$1.46,"$7,522,280",Own Blockchain,4.40%,-6.96%,
200,201,Cryptos,Financial services,Financial services,,Libra Credit LBA,$21.3M,$0.04,"$1,133,452",Ethereum (ERC20),4.49%,-8.37%,
209,210,Cryptos,Financial services,Financial services,,Metal MTL,$20.44M,$0.46,"$3,844,680",Ethereum (ERC20),-2.59%,-6.46%,
217,218,Cryptos,Financial services,Financial services,,Moeda Loyalty Points MDA,$18.53M,$0.94,"$1,636,825",Ethereum (ERC20),0.64%,-4.94%,
225,226,Cryptos,Financial services,Financial services,,Noah Coin NOAH,$17.96M,$0.00,"$356,875",Ethereum (ERC20),5.78%,-19.17%,
241,242,Cryptos,Financial services,Financial services,,Everex EVX,$16.16M,$0.71,"$1,603,472",Ethereum (ERC20),2.43%,-4.35%,
243,244,Cryptos,Financial services,Financial services,invoice financing,Request Network REQ,$16.12M,$0.02,"$484,574",Ethereum (ERC20),1.81%,-13.05%,
251,252,Cryptos,Financial services,Financial services,,Linkey LKY,$15.72M,$0.31,"$5,231",Ethereum (ERC20),2.28%,-23.53%,
279,280,Cryptos,Financial services,Financial services,,Crypterium CRPT,$13.14M,$0.16,"$76,421",Own Blockchain,1.84%,-5.06%,
303,304,Cryptos,Financial services,Financial services,,Everus EVR,$11.75M,$0.03,"$4,954",Ethereum (ERC20),36.45%,85.40%,
348,349,Cryptos,Financial services,Financial services,debt market,Ethlend LEND,$9.24M,$0.01,"$1,725,935",Ethereum (ERC20),1.49%,-13.34%,
384,385,Cryptos,Financial services,Financial services,,1irstcoin FST,$7.77M,$1.27,"$24,946",Ethereum (ERC20),-0.92%,-0.64%,
388,389,Cryptos,Financial services,Financial services,,Ternio TERN,$7.61M,$0.02,"$1,370",Stellar,-1.44%,-18.85%,
393,394,Cryptos,Financial services,Financial services,,Monetha MTH,$7.49M,$0.02,"$241,371",Ethereum (ERC20),-0.84%,-15.48%,
400,401,Cryptos,Financial services,Financial services,,Litex LXT,$7.12M,$0.01,"$243,223",Ethereum (ERC20),-7.17%,25.38%,
405,406,Cryptos,Financial services,Financial services,,PayPie PPP,$7.05M,$0.09,"$9,025",Ethereum (ERC20),0.04%,0.01%,
406,407,Cryptos,Financial services,Financial services,debt market,SALT SALT,$7.03M,$0.09,"$403,482",Ethereum (ERC20),-29.82%,-20.01%,
409,410,Cryptos,Financial services,Financial services,,Blockmason BCPT,$6.89M,$0.06,"$728,293",Ethereum (ERC20),-0.54%,-24.23%,
439,440,Cryptos,Financial services,Financial services,,Spendcoin SPND,$6.06M,$0.04,"$6,404,724",Ethereum (ERC20),-0.76%,-5.54%,
442,443,Cryptos,Financial services,Financial services,,Jibrel JNT,$5.94M,$0.04,"$34,023",Ethereum (ERC20),0.54%,-5.08%,
466,467,Cryptos,Financial services,Financial services,debt market,Bloom BLT,$5.35M,$0.10,"$142,066",Ethereum (ERC20),12.55%,48.99%,
519,520,Cryptos,Financial services,Financial services,,Olympus Labs MOT,$4.36M,$0.11,"$3,976",Ethereum (ERC20),-0.30%,-16.75%,
523,524,Cryptos,Financial services,Financial services,,SwissBorg CHSB,$4.3M,$0.01,"$64,025",Ethereum (ERC20),0.16%,-14.61%,
541,543,Cryptos,Financial services,Financial services,,EveryCoin EVY,$4.02M,$0.00,"$300,927",Ethereum (ERC20),-2.37%,-7.80%,
543,545,Cryptos,Financial services,Financial services,,Polybius PLBT,$3.97M,$1.00,"$4,004",Own Blockchain,-12.75%,9.69%,
544,546,Cryptos,Financial services,Financial services,,INMAX INX,$3.97M,$1.16,"$44,444",Ethereum (ERC20),-3.65%,-8.61%,
545,547,Cryptos,Financial services,Financial services,,ZPER ZPR,$3.94M,$0.00,"$8,137",Ethereum (ERC20),1.93%,15.37%,
553,555,Cryptos,Financial services,Financial services,,Zen Protocol ZP,$3.84M,$0.20,"$11,045",Own Blockchain,-0.82%,3.99%,
559,561,Cryptos,Financial services,Financial services,,Lendingblock LND,$3.79M,$0.01,"$39,989",Ethereum (ERC20),-1.21%,-4.12%,
562,564,Cryptos,Financial services,Financial services,,AIDUS Token AID,$3.74M,$0.02,"$2,204,867",Ethereum (ERC20),1.42%,-7.49%,
565,567,Cryptos,Financial services,Financial services,,LinkEye LET,$3.72M,$0.01,"$8,059,924",Own Blockchain,2.39%,-14.63%,
566,568,Cryptos,Financial services,Financial services,,SureRemit RMT,$3.7M,$0.01,"$23,247",Stellar,-0.99%,54.76%,
582,584,Cryptos,Financial services,Financial services,,Insureum ISR,$3.53M,$0.02,"$56,023",Ethereum (ERC20),15.44%,5.85%,
615,617,Cryptos,Financial services,Financial services,,Global Cryptocurrency GCC,$2.9M,$0.00,"$3,975",Own Blockchain,-9.75%,-18.88%,
620,622,Cryptos,Financial services,Financial services,,BABB BAX,$2.82M,$0.00,"$5,868",Ethereum (ERC20),-1.38%,-9.90%,
633,635,Cryptos,Financial services,Financial services,,Uptoken UP,$2.71M,$0.02,"$124,773",Ethereum (ERC20),1.06%,22.91%,
635,637,Cryptos,Financial services,Financial services,,OTOCASH OTO,$2.67M,$0.13,"$3,106",Own Blockchain,-0.26%,-5.52%,
638,640,Cryptos,Financial services,Financial services,,Change CAG,$2.63M,$0.08,"$4,607",Ethereum (ERC20),-8.75%,-11.46%,
640,642,Cryptos,Financial services,Financial services,,HorusPay HORUS,$2.63M,$0.00,"$1,207",EOS,13.10%,16.04%,
655,657,Cryptos,Financial services,Financial services,,Humaniq HMQ,$2.43M,$0.01,"$253,693",Ethereum (ERC20),-3.83%,27.58%,
663,665,Cryptos,Financial services,Financial services,,Nexty NTY,$2.35M,$0.00,"$16,168",Own Blockchain,-2.70%,-7.53%,
678,679,Cryptos,Financial services,Financial services,,Datum DAT,$2.17M,$0.00,"$110,481",Ethereum (ERC20),18.31%,1.96%,
679,680,Cryptos,Financial services,Financial services,,Hi Mutual Society HMC,$2.17M,$0.01,"$84,322",Own Blockchain,-5.10%,-4.55%,
685,686,Cryptos,Financial services,Financial services,,XinFin Network XDCE,$2.12M,$0.00,"$1,004,334",Ethereum (ERC20),-4.53%,-19.10%,
689,690,Cryptos,Financial services,Financial services,,NEXT.exchange NEXT,$2.1M,$0.61,"$43,857",Ethereum (ERC20),-18.89%,15.96%,
694,695,Cryptos,Financial services,Financial services,,Bankex BKX,$2.02M,$0.02,"$132,673",Own Blockchain,-2.02%,6.44%,
702,703,Cryptos,Financial services,Financial services,,Zeusshield ZSC,$1.96M,$0.00,"$32,597",Ethereum (ERC20),-2.65%,-11.49%,
704,705,Cryptos,Financial services,Financial services,,Wollo WLO,$1.95M,$0.05,"$5,242",Stellar,-3.71%,-34.81%,
706,707,Cryptos,Financial services,Financial services,,MoneyToken IMT,$1.92M,$0.00,"$8,643",Ethereum (ERC20),-1.81%,-11.07%,
707,708,Cryptos,Financial services,Financial services,,Pal Network PAL,$1.92M,$0.00,"$136,325",Ethereum (ERC20),4.30%,2.78%,
716,717,Cryptos,Financial services,Financial services,,STK STK,$1.88M,$0.01,"$100,977",Ethereum (ERC20),5.35%,-8.63%,
725,726,Cryptos,Financial services,Financial services,,Liquidity Network LQD,$1.8M,$0.04,"$134,709",Ethereum (ERC20),-1.02%,-12.08%,
730,731,Cryptos,Financial services,Financial services,,aXpire AXPR,$1.75M,$0.01,"$4,082",Ethereum (ERC20),-0.64%,-9.49%,
732,733,Cryptos,Financial services,Financial services,,Graft GRFT,$1.74M,$0.00,"$20,348",Own Blockchain,-4.09%,-22.50%,
738,739,Cryptos,Financial services,Financial services,,Oxycoin OXY,$1.73M,$0.00,"$55,526",Own Blockchain,3.69%,-21.33%,
741,742,Cryptos,Financial services,Financial services,,FuzeX FXT,$1.69M,$0.00,"$12,064",Own Blockchain,2.46%,-13.02%,
749,750,Cryptos,Financial services,Financial services,,Pundi X NEM NPXSXEM,$1.63M,$0.00,"$1,652,630",NEM,-4.69%,-4.37%,
791,792,Cryptos,Financial services,Financial services,,Unification UND,$1.32M,$0.03,"$265,521",Ethereum (ERC20),-5.60%,-0.81%,
809,811,Cryptos,Financial services,Financial services,,Credit Tag Chain CTC,$1.18M,$0.02,"$115,028",Own Blockchain,-0.82%,-8.70%,
840,842,Cryptos,Financial services,Financial services,,Karma KRM,$991.93K,$0.00,"$7,679",BitShares,10.46%,19.08%,
860,862,Cryptos,Financial services,Financial services,,Amon AMN,$868.85K,$0.00,"$2,938",Ethereum (ERC20),-19.44%,18.22%,
879,881,Cryptos,Financial services,Financial services,,Digital Asset Guarantee Token DAGT,$819.57K,$0.04,"$1,224,025",Ethereum (ERC20),-17.65%,-26.54%,
896,898,Cryptos,Financial services,Financial services,,Welltrado WTL,$706.77K,$0.02,"$11,756",Ethereum (ERC20),15.14%,-9.36%,
898,900,Cryptos,Financial services,Financial services,,Traxia TMT,$698.08K,$0.00,"$33,441",Ethereum (ERC20),-10.55%,-43.72%,
901,903,Cryptos,Financial services,Financial services,,InsurePal IPL,$694.69K,$0.00,"$51,495",Ethereum (ERC20),-2.26%,-14.11%,
904,906,Cryptos,Financial services,Financial services,,LALA World LALA,$679.78K,$0.00,"$20,188",Ethereum (ERC20),2.98%,-7.48%,
917,919,Cryptos,Financial services,Financial services,,KuboCoin KUBO,$638.59K,$0.00,"$3,582",Ethereum (ERC20),-14.36%,25.53%,
933,935,Cryptos,Financial services,Financial services,,Formosa Financial FMF,$579.45K,$0.00,"$18,285",Ethereum (ERC20),-0.75%,-6.76%,
940,942,Cryptos,Financial services,Financial services,,Eroscoin ERO,$559.46K,$0.00,$882,Ethereum (ERC20),-7.27%,-32.25%,
943,945,Cryptos,Financial services,Financial services,,HOLD HOLD,$551.48K,$0.00,"$6,848",Ethereum (ERC20),1.53%,8.56%,
950,952,Cryptos,Financial services,Financial services,,Debitum Network DEB,$521.2K,$0.00,$587,Ethereum (ERC223),9.08%,22.03%,
974,976,Cryptos,Financial services,Financial services,,Conceal CCX,$446.61K,$0.12,"$9,317",Own Blockchain,-7.65%,-31.71%,
