?,#,Sector,Category,Sector_s,Sub Sector,Name,Marketcap,Price,Volumn,Blockchain,Change 24h,Change 7d,
891,893,Cryptos,Communication,Communication,,Graviocoin GIO,$727.44K,$0.00,"$1,086",Own Blockchain,-7.67%,-1.55%,
1625,1633,Cryptos,Communication,Communication,,Phonecoin PHON,$46.66K,$0.00,$79,Own Blockchain,-4.80%,0.01%,
1943,1957,Cryptos,Communication,Communication,,ROMToken ROM,$0,$0.00,"$145,888",Ethereum (ERC20),-9.65%,38.08%,
1987,2002,Cryptos,Communication,Communication,,DWS DWS,$0,$0.00,"$43,128",Ethereum (ERC20),-0.52%,14.23%,
2180,2206,Cryptos,Communication,Communication,,Centaure CEN,$0,$0.00,$0,Ethereum (ERC20),-0.01%,-8.05%,
102,103,Cryptos,Communication,communication,review system,Revain R,$53.31M,$0.11,"$1,631,254",Ethereum (ERC20),-6.82%,-15.43%,
214,215,Cryptos,Communication,communication,review system,Lina LINA,$19.52M,$0.08,"$463,928",Ethereum (ERC20),-7.15%,11.80%,
343,344,Cryptos,Communication,communication,telcom,QLINK QLC,$9.69M,$0.04,"$828,688",NEO,2.82%,-4.72%,
460,461,Cryptos,Communication,communication,contribution,Lunyr LUN,$5.54M,$2.41,"$810,017",Ethereum (ERC20),-1.42%,-10.29%,
470,471,Cryptos,Communication,communication,cross-chain,Mercury MER,$5.33M,$0.05,"$42,421",Waves,1.15%,-12.06%,
627,629,Cryptos,Communication,communication,secure messaging,CVCoin CVN,$2.75M,$0.22,"$619,940",BitShares,1.59%,-6.50%,
736,737,Cryptos,Communication,communication,secure messaging,Espers ESP,$1.74M,$0.00,"$1,580",Own Blockchain,63.68%,37.70%,
158,159,Cryptos,Communication,communication,,Mainframe MFT,$29.78M,$0.00,"$6,323,971",Ethereum (ERC20),3.28%,-3.93%,
215,216,Cryptos,Communication,communication,software,TOP TOP,$19.52M,$0.01,"$2,659,394",Ethereum (ERC20),-0.39%,-4.52%,
21,22,Cryptos,Tech,Computing,,Ontology ONT,$630.71M,$1.27,"$202,855,421",NEO,-0.20%,-18.47%,
38,39,Cryptos,Tech,Computing,crowdfunding,Ravencoin RVN,$226.8M,$0.06,"$23,954,621",Own Blockchain,-3.43%,4.57%,
128,129,Cryptos,Tech,Computing,,QuarkChain QKC,$39.06M,$0.02,"$20,905,723",Own Blockchain,8.98%,-5.90%,
148,149,Cryptos,Tech,Computing,,iExec RLC RLC,$33.24M,$0.42,"$928,004",Ethereum (ERC20),1.41%,-8.98%,
238,239,Cryptos,Tech,Computing,,OST OST,$16.26M,$0.03,"$2,286,277",Ethereum (ERC20),-5.94%,-11.83%,
314,315,Cryptos,Tech,Computing,,DxChain Token DX,$11.08M,$0.00,"$217,591",Ethereum (ERC20),0.59%,1.37%,
334,335,Cryptos,Tech,Computing,,DeepBrain Chain DBC,$10.04M,$0.00,"$432,538",NEO,8.76%,-6.04%,
344,345,Cryptos,Tech,Computing,,SONM SNM,$9.55M,$0.03,"$723,863",Ethereum (ERC20),1.66%,-3.72%,
450,451,Cryptos,Tech,Computing,,Seele SEELE,$5.81M,$0.01,"$316,859",Ethereum (ERC20),6.67%,2.35%,
701,702,Cryptos,Tech,Computing,,Tolar TOL,$1.96M,$0.01,"$397,848",Ethereum (ERC20),0.64%,-14.95%,
728,729,Cryptos,Tech,Computing,,Snetwork SNET,$1.78M,$0.01,"$277,387",Ethereum (ERC20),1.06%,-9.12%,
772,773,Cryptos,Tech,Computing,,MIB Coin MIB,$1.46M,$0.02,$631,Ethereum (ERC20),1.83%,-17.91%,
852,854,Cryptos,Tech,Computing,,Crowd Machine CMCT,$904.29K,$0.00,"$647,098",Ethereum (ERC20),6.68%,10.67%,
919,921,Cryptos,Tech,Computing,,DeviantCoin DEV,$633.91K,$0.04,$847,Own Blockchain,0.09%,-13.52%,
1050,1051,Cryptos,Tech,Computing,,HeroNode HER,$258.32K,$0.00,"$1,959",Own Blockchain,-3.75%,-13.46%,
1128,1131,Cryptos,Tech,Computing,,Transcodium TNS,$120.26K,$0.00,"$423,965",Ethereum (ERC20),-16.40%,-24.19%,
1267,1272,Cryptos,Tech,Computing,,RealTract RET,$1.92M,$0.00,"$5,954",Ethereum (ERC20),0.70%,14.81%,
1271,1276,Cryptos,Tech,Computing,,Nebula AI NBAI,$1.82M,$0.00,$349,Own Blockchain,-2.58%,-7.81%,
